STATE,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021
AK,27.41997405990968,21.9428449715113,14.00066289463763,15.806420947008991,15.49602420257235,19.51018113885692,22.459812103818223,18.755123520950384,26.243495159453676,29.28021568973179,28.30186754275614,24.761395780918345,54.87346861411648,28.624742001606226,125.29746153484136,64.01144403680074,26.079518931116077,26.560892657317368,16.53099441713725,50.331750204556506,25.25008301057305,16.821407670448636,19.07610083568888,36.26680881418132,14.339171894166238,114.64455735402694,10.91098132294393,23.196269667667497,31.22068198256753,70.66549039701651,10.582422048205164,20.098916059789943
AL,58.59456013267253,62.64288493242032,69.12929390436534,73.88239711425088,72.83415165210084,81.22096419057775,87.01887038733994,84.80095426055946,87.1948425495471,89.69658735258972,96.1154716124457,89.30187386115713,95.01073357086828,97.16135017293534,96.63465237476277,98.21714967640372,99.79262281117109,101.34699102791656,93.45452310734574,71.90266245117488,82.44940988500056,78.74304693213134,71.01769947496055,68.54715571679145,70.28839062419223,65.70886639305003,59.07243901181731,53.37843277630022,58.53439326052463,53.36102818070561,46.24816644706065,58.23229735478321
AR,-0.1144142702420822,-0.334613377654908,2.5740166057353253,2.1175639326689493,6.903616655403324,11.377810133515483,14.241684746876995,14.417966228026238,16.507897090249553,19.7241351357476,21.33300112525208,20.41429104097661,18.891077135221188,21.311447126664184,21.94984499799713,21.36893669665068,26.556994394036213,28.87315168894762,30.264770724165334,27.66114999104821,31.989958660369773,34.03929885753147,33.997355926139065,36.15499951536609,36.17910585009205,25.125948898647703,27.7091378514631,29.14603899327754,35.43542891572155,30.3256736174241,20.266487871680457,28.324262156482614
AZ,68.99896206758685,67.9462748872131,71.05217581702271,73.6372607428846,76.06126340729453,70.41989208831184,73.56644438330062,77.76596285593409,81.72307347305583,84.66592149179732,89.90781388639596,91.9840799694321,91.6164002136502,93.5679069140828,100.52558621573704,101.40983519935206,104.4204419529671,106.83016221512617,106.89144866432036,96.7357538724936,102.43772826879729,100.36206070412618,99.45897162893232,101.8561070280144,101.27310626926294,99.4568840928888,94.5637769090292,94.2518026653728,98.29353848022885,97.01502660289084,84.58898616622155,87.7949399080187
CA,312.54958628965005,300.32013682995097,314.2505576150332,302.51995433336145,316.8219310265932,305.8449047758929,306.8242321327987,310.0952637351085,322.1271938563244,324.08821393493673,339.0652280488324,342.84496674067304,339.34463863371417,334.50813897228744,350.4474113004303,345.28777988054054,349.8641958979722,353.3806590644272,333.8313033745057,315.3982749645137,307.61894792392513,297.42542190893465,304.3280308573438,308.10785082978265,302.7287107412622,308.82988729414546,310.5737962608532,312.4771885697375,313.88700938380924,316.95552856636,269.12281274703105,289.28931855831587
CO,76.80728655776475,78.19000383546948,79.90160521757409,83.26828280590908,83.04670180018246,83.98020273721899,86.8668712623737,87.34399927679897,89.93740095310594,92.2655670877979,95.94806237108776,103.86436457283924,101.67702766111135,101.20063288143818,104.24210474785424,107.11708208429656,107.90121129465838,109.99668898098146,108.30662760180437,103.78416710899232,106.27516523495424,103.00306204855409,101.88488099855496,103.85128935787064,105.47851276400782,104.61733887044434,102.36602847262036,102.665789780234,103.75776663864934,105.85310020481596,93.89736255262282,99.3561967386639
CT,36.8978916590856,36.1003652109182,36.1082022545748,33.6883851578537,33.2343974715509,32.4693251999674,35.083701950953696,38.6276770194645,35.8137630696133,36.520471369552496,38.8237423631923,37.1674194162161,35.314641148423,38.8076905001426,40.8490690636832,38.9586594244013,36.943151008298,35.9466198154426,32.4937760301551,31.189754753778,31.4432912731029,30.163936574312302,28.9279945235141,29.3804252681193,29.7949662445778,30.9958065773338,28.640744221720897,27.9175374827293,31.5560177671356,30.864141185001905,28.0102957371652,29.8478777103147
DE,17.00881327155125,16.389026691356538,16.54840120912478,17.816544710253062,17.42282806457227,16.765889577579504,16.954757276177045,15.660175546535266,15.144809099099929,15.246659051034015,15.266150409625247,14.981138590020846,14.902855411207655,15.708253761497817,15.628102000338911,16.463256956705163,15.425948181801877,16.315526280615927,15.122486948123449,11.008063039558875,11.8791557111029,13.013799896593008,13.61483324881348,13.316038628690649,12.907145562815234,13.113251939845595,14.041117924884912,12.85821653592551,13.12302631468616,12.827819614695697,11.771164938922784,12.209748093934756
FL,171.44251184553178,172.4011827772896,174.3940603278993,182.30176144869512,186.9347519651442,192.05341138729293,198.4086807693031,201.13835394580175,214.2483587853326,208.9649707846938,217.8029745297097,223.1652597587072,228.4554820508711,235.04544511157928,242.2431744588782,245.5597045774321,242.9663365526924,240.7117004027992,225.2730296074127,212.0885581557176,226.7074368587501,212.96555830431527,209.21330955112188,208.3400747750809,214.3242663167225,218.200151615433,219.571679389966,219.7075892252431,221.4095320745624,215.04488941086464,195.7843778675896,212.36572660419537
GA,103.16067058724671,95.15320120842908,94.23117303875291,103.93714747232072,108.1208323031198,116.258701038391,118.34512095839936,120.2885544209778,121.83929293000875,124.10432785090195,132.71563050148868,124.05405790163168,130.25179779820232,133.97179912831874,137.41323314313678,149.1807907998315,145.2615838666462,147.9575388258684,135.65087535093772,123.2229676056907,132.48162663157763,115.55282845516776,99.72080714880546,100.1664043342121,105.0789650729512,103.7175934029076,101.1054777462204,98.044796479997,97.9121421495796,92.8221083212227,74.85660254450971,83.4187019965932
HI,18.109726327307985,15.857977161777852,17.384789316378154,16.390372190086136,17.32817794018954,17.430626967161682,17.458617826394573,17.146552908030664,17.3241974092173,16.42163650934745,16.980212329925127,16.739841115880566,17.73874924872323,17.563370261129435,18.312441206232897,19.408238157045936,19.872016328442445,19.00364502682213,17.46021073114195,16.606770805392678,17.219482314680597,17.52983034694786,16.998907657866084,17.104087462871128,17.081139289452537,17.104637882176856,17.086318222759637,17.425772478781237,17.062350676699083,17.513433831737796,13.38579739322054,15.231613019708387
IA,54.005180721302,55.2963099060423,53.3989319581397,61.8460525852932,61.202718986838,63.9107045653233,64.3472787220289,65.65530669523649,73.385907457661,74.2922279211332,73.6038003872547,70.8665598581119,71.9572582755593,68.9481449753028,71.7674287405212,70.9682527928639,70.2721455714405,79.4860702619469,83.5207174149386,79.0095765594114,83.4764467735908,77.6693096765672,69.8286074073838,74.647543134263,76.16797799579,70.2509814430361,64.8760282984636,66.098627376363,72.831168648484,67.7772557279978,55.1123961576216,63.0330299147772
