STATE,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019
NJ,1.2804320112586276e-05,1.2532332245629888e-05,1.3326386294900846e-05,1.3013575314225083e-05,1.4249007957663034e-05,1.400792290921479e-05,1.4313688048272239e-05,1.4289057592184487e-05,1.3598541957860457e-05,1.4070788077454109e-05,1.3462517700702229e-05,1.2968688228741485e-05,1.2753746318834254e-05,1.2970825178123764e-05,1.3259528026036926e-05,1.351227949210459e-05,1.2889741700001031e-05,1.3587738891593295e-05,1.2773495375659571e-05,1.1603533760424286e-05,1.1055394758377722e-05,1.0852328244264117e-05,1.024004061327669e-05,1.033527932456944e-05,1.0990736077675884e-05,1.0765799196419385e-05,1.1008395910581622e-05,1.0271452596315622e-05,1.0722895846727363e-05,1.0507981602559374e-05
NM,4.2499944858903114e-05,3.995801511027759e-05,3.9767166313891946e-05,3.981377048974217e-05,4.004424894803613e-05,3.887453645770856e-05,3.9278421133428164e-05,3.990424785397768e-05,3.861663138592922e-05,3.954167986731955e-05,3.893531124518117e-05,3.8646881050917114e-05,3.774478232728721e-05,3.72526603768875e-05,3.844164477366855e-05,3.805629215263653e-05,3.784309217082506e-05,3.6043193293149966e-05,3.4508176910845594e-05,3.420172763594306e-05,3.3040746963572134e-05,3.302997080651453e-05,3.163919511896927e-05,3.220522442833324e-05,3.167385895763235e-05,3.1339021650076527e-05,2.699411897237261e-05,2.7019599296757114e-05,2.543358201281483e-05,2.789917713178273e-05
NV,2.5301324903441567e-05,2.5521334355250997e-05,2.5360139532817888e-05,2.465211948022717e-05,2.3928513665611143e-05,2.2623960187947036e-05,2.3924021493759514e-05,2.287059349803685e-05,2.3291688249136516e-05,2.265639068503477e-05,2.215302597480957e-05,2.0638682533020355e-05,1.7995379900956582e-05,1.844739897550017e-05,1.9660293739088776e-05,1.989938740528292e-05,1.568681276233153e-05,1.5156529012286044e-05,1.4575038832564816e-05,1.3920222484633241e-05,1.4482884993825212e-05,1.3094566983032888e-05,1.2963518860638426e-05,1.3658339923205654e-05,1.3970316122189434e-05,1.3068318398344439e-05,1.2929793483908661e-05,1.266270720410391e-05,1.2788333999939809e-05,1.2765898723808722e-05
NY,9.812821692984427e-06,9.325185357898502e-06,9.321497640579643e-06,8.886552461349645e-06,8.825381337625432e-06,9.123080904285792e-06,9.237011740596346e-06,9.36295407808866e-06,9.334854819315316e-06,9.402482909915388e-06,9.390644603681196e-06,9.179793976147937e-06,8.973820492435414e-06,9.419658338440873e-06,9.664716198764893e-06,9.502930802111108e-06,8.665761919007364e-06,8.959821058914585e-06,8.273558391102401e-06,7.450348860798332e-06,7.878937309284309e-06,7.444887196142085e-06,7.043476355026601e-06,7.045579460894534e-06,7.29935153736396e-06,7.2128307821068675e-06,6.974334523948432e-06,6.79280142815633e-06,7.196231043600178e-06,7.11709798882896e-06
OH,2.2229554843689443e-05,2.1987195587693686e-05,2.2377331704142363e-05,2.273226823091018e-05,2.2376186221520572e-05,2.2780737432341972e-05,2.364186104865677e-05,2.332056463559924e-05,2.332847462990854e-05,2.3187890643046842e-05,2.3670297566448324e-05,2.2371766821208182e-05,2.2858981503819487e-05,2.3375677109730446e-05,2.291196749001196e-05,2.3427057846055096e-05,2.2673480362508246e-05,2.2833690064847467e-05,2.2428399787849682e-05,1.974532965529577e-05,2.0280071661136456e-05,1.9118715917017386e-05,1.7425540523663463e-05,1.848705789719353e-05,1.848237633159267e-05,1.7052978282181458e-05,1.6535848623651328e-05,1.6523811730820633e-05,1.687644516812839e-05,1.5777090864012134e-05
OK,2.2535094459614803e-05,2.2966522352441984e-05,2.3622126937158005e-05,2.4202090283883047e-05,2.3648869303678132e-05,2.429804421889129e-05,2.4705256179741847e-05,2.4697473317442705e-05,2.3820611939155587e-05,2.3796111882564567e-05,2.3793412988008494e-05,2.4349231097338362e-05,2.442008673892584e-05,2.4391352086991988e-05,2.4266343655442534e-05,2.6077392859970224e-05,2.5922736577316396e-05,2.673787834402236e-05,2.699229856100599e-05,2.500066689795064e-05,2.469378128702694e-05,2.466853843172273e-05,2.486050674263447e-05,2.46566309106253e-05,2.5137010788219093e-05,2.4047231743380483e-05,2.2954326402750755e-05,2.2385037538471104e-05,2.38021677208913e-05,2.193787808649555e-05
OR,-1.7178578989386572e-06,-1.2432340723740855e-06,-3.519751324953407e-07,-2.5569079146558436e-07,-8.286546656920914e-08,-7.625725475730887e-07,-1.7135048093347735e-07,-4.849516447586898e-07,1.2602919679355464e-06,1.4789886287473676e-06,8.832954024958696e-07,4.6038012855063345e-07,-1.0657010741232086e-08,1.1430929928242669e-07,2.6953153090924386e-07,2.1716934252845658e-07,-1.6955278638136854e-07,7.46673652421128e-07,3.458818334764492e-07,-3.6053766916444323e-07,-6.509342691722799e-07,-1.3434197161041635e-06,-1.660396953362797e-06,-1.0840416013782895e-06,-1.2937515687703564e-06,-1.0087302874553025e-06,-6.252418454137621e-07,-2.3666690167712994e-07,4.215492650012523e-08,6.863262063110147e-07
PA,1.8615823711026956e-05,1.8170516846908564e-05,1.8664554180122696e-05,1.876070782556772e-05,1.8587418938728255e-05,1.8897457216180557e-05,1.940856661917081e-05,1.9485303014846742e-05,1.9271548347247026e-05,1.9300667098250224e-05,1.9883103739723218e-05,1.8607589777666727e-05,1.9036426309201203e-05,1.9428382611411515e-05,1.9906423298288323e-05,1.9882901613118827e-05,1.9484045234201047e-05,1.939964419639562e-05,1.8721536846697934e-05,1.7150463933101527e-05,1.786475808205632e-05,1.7375148781876083e-05,1.652648169830963e-05,1.7248679838269394e-05,1.7099449005531947e-05,1.604602361376091e-05,1.512307503004488e-05,1.4826164778776229e-05,1.5122151551150912e-05,1.5142252613446395e-05
RI,8.057208117836976e-06,9.824448986203449e-06,1.2206329768876471e-05,9.89788893351038e-06,1.1951536645462608e-05,1.1230756227818456e-05,1.2783629592111013e-05,1.2496411043620346e-05,1.3027211678061343e-05,1.2344127918096948e-05,1.029736540613034e-05,1.0827529482942877e-05,1.0071222017321002e-05,9.913180195005142e-06,9.45169164861206e-06,9.653319669485802e-06,9.211904357531023e-06,9.735184511837911e-06,9.330317235195445e-06,9.879449297417159e-06,9.699003044208645e-06,9.752420837194834e-06,9.131626700595284e-06,8.797301405955372e-06,9.290945234948047e-06,9.514970714334251e-06,8.35682665312452e-06,8.684600437936749e-06,9.722311315947376e-06,9.114555723973791e-06
SC,1.2422848615699571e-05,1.2089128571369447e-05,1.199366618133979e-05,1.3087331494719641e-05,1.3332451820260302e-05,1.2786407590409853e-05,1.3778101520122552e-05,1.4022203159456377e-05,1.4793714419597547e-05,1.551115195654324e-05,1.5710815432077324e-05,1.491688464598168e-05,1.4909304437241562e-05,1.5253752266171769e-05,1.6744845670308965e-05,1.641755170638432e-05,1.6345368583778136e-05,1.6210042526790384e-05,1.5395716458803052e-05,1.3854355349046857e-05,1.4073159775705476e-05,1.3166022287280978e-05,1.1771515397806545e-05,1.0714828925475308e-05,1.1349713934808154e-05,1.0973614390203494e-05,1.0496920748798781e-05,9.827147324713976e-06,1.057794447820409e-05,9.748650537638953e-06
SD,1.5366996994332034e-05,1.3919730052771174e-05,1.4529991358386682e-05,1.6532186828100154e-05,1.4652716355447778e-05,1.708976460593194e-05,1.4875239185701812e-05,1.834177862039188e-05,1.624556288426994e-05,1.8087154233809177e-05,1.4585046488138219e-05,1.635859012526196e-05,1.54222726073208e-05,1.8062823481794464e-05,1.7426570007682055e-05,1.7689983956066777e-05,1.6074482775677327e-05,1.9811430814783357e-05,1.8293336052049438e-05,1.915749360847027e-05,1.9254387899696466e-05,1.7379242382463842e-05,1.3829557885822902e-05,1.636403289747401e-05,1.754395085601709e-05,1.5018609475427001e-05,1.4659607411752355e-05,1.4396649577741286e-05,1.5597314511861172e-05,1.63761859622015e-05
TN,1.367203265876218e-05,1.2660961088070218e-05,1.3797333592386662e-05,1.561891137588911e-05,1.4576468340850435e-05,1.558967383994508e-05,1.554358540646765e-05,1.6136747814916642e-05,1.6009152191189774e-05,1.6171287097650105e-05,1.6615108998994413e-05,1.6088534285493817e-05,1.5666543313902147e-05,1.5351728388974918e-05,1.5476263216875354e-05,1.568391360068e-05,1.5778652611723858e-05,1.547670116268705e-05,1.4590921797317186e-05,1.0959736434714818e-05,1.1491095934965025e-05,1.0807929755153196e-05,9.851544331998595e-06,9.603530673564072e-06,1.0261584238786782e-05,9.62840786540792e-06,1.0042366404463361e-05,9.35365053436681e-06,8.738351763823785e-06,8.653466087028835e-06
TX,3.1401875726336776e-05,3.074631600057781e-05,3.052749101476843e-05,3.0387274005088908e-05,3.032955869278884e-05,3.007514117484199e-05,3.1718175682223594e-05,3.210467324467912e-05,3.162334240899693e-05,3.114287483468137e-05,3.081173016705078e-05,3.003007784066613e-05,3.0185374423428893e-05,2.9395362366213034e-05,2.8937874992169714e-05,2.731480995478256e-05,2.6760559616409427e-05,2.654226992611352e-05,2.46801675294654e-05,2.250586811594237e-05,2.3467411925948444e-05,2.3665310124082655e-05,2.3707445358371406e-05,2.4644717391176242e-05,2.422085871110873e-05,2.359909140540425e-05,2.286441489020311e-05,2.3083972993563933e-05,2.388151118039949e-05,2.368357584558577e-05
UT,3.262756918078905e-05,3.1188260224876756e-05,3.1281691841236434e-05,3.11610493229865e-05,3.0771668073127934e-05,3.0423053733436805e-05,2.9966533441555354e-05,3.015976141289144e-05,3.0354059733990104e-05,2.915247495792918e-05,2.834877406380415e-05,2.7001838128629644e-05,2.6606730772338044e-05,2.668745341784978e-05,2.767105860043218e-05,2.8211394257611236e-05,2.7287924887156856e-05,2.6956586461689152e-05,2.6396637860986075e-05,2.3693894074150037e-05,2.3123876693224556e-05,2.3025766940999302e-05,2.1963800176974495e-05,2.322767138283555e-05,2.3100779243523185e-05,2.1958652325451006e-05,2.0110961748652758e-05,1.9824448516728588e-05,2.0116822091648952e-05,2.001911449539971e-05
VA,7.654811294582164e-06,7.591028005467463e-06,7.928653222784709e-06,8.434848501958295e-06,8.296842080529706e-06,8.621209286201887e-06,9.241820511531759e-06,9.424153227008404e-06,9.707848453197747e-06,9.873111809712051e-06,1.075399836583611e-05,1.0297606114128097e-05,9.856769939128941e-06,1.0515525371840867e-05,1.0901116653621332e-05,1.0835190982171484e-05,9.86197485837937e-06,1.0511653063840292e-05,9.102689847422176e-06,7.615836129242225e-06,8.14058948875913e-06,6.843694623239773e-06,6.427417855463346e-06,7.189758876050037e-06,7.2477385050369335e-06,7.289767890087493e-06,7.462301607650237e-06,6.788950890109086e-06,7.237391691927001e-06,6.766813924538514e-06
VT,-4.4706639379787645e-06,-3.885444212382635e-06,-2.9865717443428094e-06,-3.0541640585649225e-06,-3.0267506713378826e-06,-2.9057330337664524e-06,-1.8732764268236489e-06,-1.7977358074774273e-06,-2.1328166205366266e-06,-2.2494844055637143e-06,-1.1852275242348488e-06,-1.359290628680563e-06,-1.445890343931841e-06,-9.87829772374397e-07,-7.075874676684056e-08,-5.173209928644676e-07,-4.5188100326445097e-07,-9.645020701476062e-07,-1.7290095986634646e-06,-1.2278571296056277e-06,-1.5293409403752163e-06,-1.2397172754567835e-06,-1.986889961887588e-06,-1.3136271578032925e-06,-8.056941878929452e-07,-4.7241424517910636e-07,-8.086659149364155e-07,-9.494923533069903e-07,-6.359346443324184e-07,7.398298830732464e-08
WA,1.1032609736337406e-05,1.0654651670308809e-05,1.1836017365151428e-05,1.1182040591034203e-05,1.1948287692024247e-05,1.1249255050036628e-05,1.173310205289489e-05,1.0591364980916025e-05,1.1468502185584718e-05,1.1692501525646388e-05,1.1132853656849647e-05,1.0119191144698998e-05,8.990804955638354e-06,9.038236066140867e-06,9.064700752106708e-06,9.177132336187222e-06,8.545186602342602e-06,8.872144573977418e-06,8.470937861728285e-06,7.897380916363944e-06,7.5369648840608535e-06,6.369051306390811e-06,6.043732798261209e-06,6.904995775049537e-06,6.58490714156935e-06,6.636962697334682e-06,6.589373969686668e-06,6.794401824081687e-06,6.803209641123276e-06,7.486387692692062e-06
WI,1.447812970197461e-05,1.4807062711077173e-05,1.4365194086195217e-05,1.5294102575861328e-05,1.569203747875532e-05,1.6164367294130704e-05,1.6810853185769982e-05,1.725434738893518e-05,1.6999431295607506e-05,1.762490223805726e-05,1.7530316616526457e-05,1.71653159630041e-05,1.7240163910948854e-05,1.6799805547340322e-05,1.7087696491828225e-05,1.7508163142717386e-05,1.6007563255640633e-05,1.6293506600877355e-05,1.6167024560847116e-05,1.4380203118737688e-05,1.500294229147921e-05,1.451587198641347e-05,1.3174304500664317e-05,1.4960316620859306e-05,1.5007046178475364e-05,1.4622583354366206e-05,1.3851787592608358e-05,1.4328334654454472e-05,1.4806237864705551e-05,1.3603570005168149e-05
WV,4.598325386214623e-05,4.1533977032570175e-05,4.318733752304937e-05,4.314132067639828e-05,4.772399612432455e-05,4.699222916892685e-05,4.8949929749087597e-05,5.210151848323088e-05,5.331407672267332e-05,5.5340817842150545e-05,5.392768699257056e-05,4.85649453946653e-05,5.532369637586389e-05,5.3469299249255644e-05,5.23467530960062e-05,5.309968734120675e-05,5.33956922817419e-05,5.365919212224703e-05,5.154370668785467e-05,3.9882702070241165e-05,4.4965324936398223e-05,4.367631232345384e-05,4.132432965911792e-05,4.297932491208759e-05,4.62404328751279e-05,4.26875978019948e-05,4.329708807574791e-05,4.2687532828216403e-05,4.230298282889425e-05,4.136078952078176e-05
WY,0.00015456418985214208,0.00014958482071960024,0.0001601840500748087,0.00015127721837948852,0.00015548404341913846,0.0001473531336589961,0.00014935426543879657,0.00014970136641114458,0.00016036110403872314,0.00015709321289501238,0.00015327273900111232,0.0001560497345787919,0.00014916948443779724,0.00015170202996258174,0.00015019028345254965,0.00014929734626180228,0.00014604439821283867,0.00014982638405476784,0.00014805310803031575,0.00013612405461830155,0.00013948251950047933,0.00012408826543358528,0.00014880708439135956,0.00014937865675968858,0.00014709413208741843,0.00011657222660650932,0.00010558015072358146,0.00015007950673729583,0.00012565661550445996,0.00011866383968648636
