1955     1     0.694  0.282     0.119  0.058     0.270  0.076     0.110  0.069     0.052  0.056
1955     2    -1.780  0.213     0.158  0.060     0.267  0.079     0.104  0.070     0.042  0.056
1955     3    -0.232  0.102     0.129  0.069     0.258  0.086     0.087  0.070     0.028  0.056
1955     4     0.434  0.163     0.093  0.081     0.249  0.093     0.098  0.070     0.033  0.056
1955     5     0.301  0.206    -0.243  0.088     0.247  0.097     0.101  0.069     0.038  0.056
1955     6    -1.244  0.110    -0.280  0.091     0.261  0.097     0.105  0.069     0.040  0.057
1955     7     0.328  0.145    -0.322  0.098     0.237  0.096     0.114  0.069     0.040  0.056
1955     8     0.607  0.215    -0.275  0.109     0.208  0.096     0.121  0.068     0.038  0.056
1955     9     0.403  0.153    -0.261  0.111     0.176  0.096     0.129  0.066     0.034  0.056
1955    10     0.192  0.107    -0.357  0.119     0.187  0.096     0.118  0.066     0.033  0.057
1955    11    -2.337  0.187    -0.321  0.118     0.209  0.097     0.125  0.066     0.043  0.057
1955    12    -0.731  0.194    -0.161  0.131     0.192  0.099     0.122  0.065     0.055  0.057
1956     1     0.200  0.285    -0.214  0.128     0.180  0.100     0.132  0.066     0.042  0.057
1956     2    -1.217  0.214    -0.288  0.109     0.191  0.101     0.141  0.067     0.035  0.057
1956     3    -0.064  0.158    -0.321  0.113     0.185  0.102     0.161  0.067     0.027  0.057
1956     4    -0.718  0.263    -0.301  0.118     0.168  0.102     0.152  0.066     0.018  0.057
1956     5     0.727  0.246    -0.218  0.119     0.160  0.102     0.145  0.066     0.020  0.056
1956     6     0.673  0.306    -0.094  0.117     0.150  0.102     0.156  0.065     0.019  0.055
1956     7    -0.303  0.134    -0.127  0.116     0.140  0.099     0.153  0.065     0.022  0.054
1956     8    -0.280  0.170     0.140  0.117     0.100  0.101     0.155  0.064     0.022  0.053
1956     9     0.003  0.140     0.207  0.118     0.095  0.101     0.153  0.063     0.024  0.053
1956    10     0.429  0.140     0.296  0.120     0.073  0.102     0.151  0.063     0.021  0.053
1956    11    -1.330  0.203     0.224  0.107     0.089  0.103     0.154  0.064     0.025  0.052
1956    12     0.749  0.254     0.200  0.111     0.101  0.099     0.145  0.063     0.021  0.052
1957     1    -0.194  0.219     0.247  0.128     0.083  0.096     0.132  0.063     0.027  0.052
1957     2     1.983  0.229     0.278  0.157     0.089  0.095     0.137  0.062     0.029  0.051
1957     3     0.748  0.103     0.257  0.194     0.075  0.099     0.138  0.063     0.040  0.051
1957     4     0.346  0.327     0.162  0.225     0.058  0.101     0.140  0.062     0.041  0.050
1957     5    -0.140  0.177     0.276  0.244     0.010  0.100     0.149  0.063     0.037  0.050
1957     6     0.388  0.536     0.331  0.239     0.034  0.099     0.139  0.062     0.039  0.050
1957     7     0.261  0.366     0.456  0.236     0.027  0.098     0.134  0.062     0.039  0.048
1957     8     0.097  0.356     0.249  0.238     0.045  0.101     0.133  0.062     0.035  0.048
1957     9    -0.258  0.626     0.127  0.250     0.012  0.102     0.127  0.062     0.032  0.047
1957    10    -0.701  0.482     0.106  0.227     0.010  0.100     0.138  0.063     0.022  0.047
1957    11     0.028  0.270     0.197  0.224     0.003  0.096     0.144  0.064     0.028  0.047
1957    12     1.417  0.317     0.161  0.194     0.025  0.096     0.143  0.064     0.025  0.047
1958     1     1.300  0.353     0.105  0.188     0.021  0.096     0.108  0.064     0.026  0.046
