,anomaly,date
236,0.539,1969-09-01
237,-0.858,1969-10-01
238,-0.335,1969-11-01
239,1.315,1969-12-01
240,-1.548,1970-01-01
241,1.502,1970-02-01
242,-0.394,1970-03-01
243,-0.684,1970-04-01
244,0.534,1970-05-01
245,0.039,1970-06-01
246,0.064,1970-07-01
247,0.55,1970-08-01
248,-0.453,1970-09-01
249,-1.448,1970-10-01
250,0.171,1970-11-01
251,0.249,1970-12-01
252,-1.111,1971-01-01
253,-0.57,1971-02-01
254,-1.156,1971-03-01
255,-0.654,1971-04-01
256,-1.145,1971-05-01
257,0.568,1971-06-01
258,-0.594,1971-07-01
259,-0.074,1971-08-01
260,-0.262,1971-09-01
261,0.355,1971-10-01
262,-0.249,1971-11-01
263,0.656,1971-12-01
264,-0.21,1972-01-01
265,-0.538,1972-02-01
266,0.652,1972-03-01
267,-0.709,1972-04-01
268,0.103,1972-05-01
269,-0.199,1972-06-01
270,-0.422,1972-07-01
271,0.082,1972-08-01
272,-0.307,1972-09-01
273,-0.642,1972-10-01
274,-1.113,1972-11-01
275,-1.096,1972-12-01
276,-0.478,1973-01-01
277,0.118,1973-02-01
278,1.554,1973-03-01
279,-0.845,1973-04-01
280,-0.403,1973-05-01
281,0.181,1973-06-01
282,-0.257,1973-07-01
283,0.122,1973-08-01
284,-0.089,1973-09-01
285,0.801,1973-10-01
286,0.23,1973-11-01
287,0.743,1973-12-01
288,0.486,1974-01-01
289,-0.528,1974-02-01
290,1.581,1974-03-01
291,0.348,1974-04-01
292,0.251,1974-05-01
293,-0.092,1974-06-01
294,0.217,1974-07-01
295,-0.566,1974-08-01
296,-0.811,1974-09-01
297,-0.415,1974-10-01
298,0.003,1974-11-01
299,-0.092,1974-12-01
300,0.863,1975-01-01
301,-0.586,1975-02-01
302,-0.74,1975-03-01
303,-2.085,1975-04-01
304,0.067,1975-05-01
305,-0.567,1975-06-01
306,0.046,1975-07-01
307,-0.21,1975-08-01
308,-0.975,1975-09-01
309,0.111,1975-10-01
310,-0.364,1975-11-01
311,0.147,1975-12-01
312,0.2,1976-01-01
313,1.997,1976-02-01
314,0.776,1976-03-01
315,0.516,1976-04-01
316,-0.583,1976-05-01
317,-0.314,1976-06-01
318,-0.292,1976-07-01
319,-0.362,1976-08-01
320,-0.09,1976-09-01
321,-1.918,1976-10-01
322,-0.876,1976-11-01
323,-0.692,1976-12-01
324,-1.529,1977-01-01
325,2.027,1977-02-01
326,0.75,1977-03-01
327,1.1,1977-04-01
328,0.654,1977-05-01
329,0.972,1977-06-01
330,0.581,1977-07-01
331,0.407,1977-08-01
332,0.751,1977-09-01
333,0.07,1977-10-01
334,-0.091,1977-11-01
335,0.017,1977-12-01
336,-0.577,1978-01-01
337,-2.106,1978-02-01
338,0.641,1978-03-01
339,0.681,1978-04-01
340,-0.004,1978-05-01
341,0.107,1978-06-01
342,0.239,1978-07-01
343,0.153,1978-08-01
344,0.756,1978-09-01
345,-0.015,1978-10-01
346,0.385,1978-11-01
347,-0.754,1978-12-01
348,-2.57,1979-01-01
349,-3.55,1979-02-01
350,1.004,1979-03-01
351,-0.085,1979-04-01
352,-0.139,1979-05-01
353,-0.25,1979-06-01
354,-0.056,1979-07-01
355,-0.126,1979-08-01
356,0.823,1979-09-01
357,1.079,1979-10-01
358,0.18,1979-11-01
359,1.006,1979-12-01
360,0.552,1980-01-01
361,0.423,1980-02-01
362,-0.093,1980-03-01
363,0.557,1980-04-01
364,0.277,1980-05-01
365,0.185,1980-06-01
366,1.049,1980-07-01
367,0.276,1980-08-01
368,0.519,1980-09-01
369,-0.386,1980-10-01
370,0.635,1980-11-01
371,0.165,1980-12-01
372,3.081,1981-01-01
373,1.772,1981-02-01
374,2.058,1981-03-01
375,2.13,1981-04-01
376,-0.007,1981-05-01
377,0.702,1981-06-01
378,0.07,1981-07-01
379,0.01,1981-08-01
380,-0.042,1981-09-01
381,-0.67,1981-10-01
