EIA_ID,YYYYMM,Date,Value,Column_Order,Description,Unit
WDPRBUS,197906,6/1/1979,176.662,1,Wood Energy Production,Trillion Btu
WDPRBUS,197907,7/1/1979,182.536,1,Wood Energy Production,Trillion Btu
WDPRBUS,197908,8/1/1979,182.638,1,Wood Energy Production,Trillion Btu
WDPRBUS,197909,9/1/1979,176.766,1,Wood Energy Production,Trillion Btu
WDPRBUS,197910,10/1/1979,182.63,1,Wood Energy Production,Trillion Btu
WDPRBUS,197911,11/1/1979,176.767,1,Wood Energy Production,Trillion Btu
WDPRBUS,197912,12/1/1979,182.568,1,Wood Energy Production,Trillion Btu
WDPRBUS,198001,1/1/1980,209.613,1,Wood Energy Production,Trillion Btu
WDPRBUS,198002,2/1/1980,196.117,1,Wood Energy Production,Trillion Btu
WDPRBUS,198003,3/1/1980,209.598,1,Wood Energy Production,Trillion Btu
WDPRBUS,198004,4/1/1980,202.768,1,Wood Energy Production,Trillion Btu
WDPRBUS,198005,5/1/1980,209.394,1,Wood Energy Production,Trillion Btu
WDPRBUS,198006,6/1/1980,202.609,1,Wood Energy Production,Trillion Btu
WDPRBUS,198007,7/1/1980,209.449,1,Wood Energy Production,Trillion Btu
WDPRBUS,198008,8/1/1980,209.544,1,Wood Energy Production,Trillion Btu
WDPRBUS,198009,9/1/1980,202.79,1,Wood Energy Production,Trillion Btu
WDPRBUS,198010,10/1/1980,209.602,1,Wood Energy Production,Trillion Btu
WDPRBUS,198011,11/1/1980,202.831,1,Wood Energy Production,Trillion Btu
WDPRBUS,198012,12/1/1980,209.546,1,Wood Energy Production,Trillion Btu
WDPRBUS,198101,1/1/1981,211.988,1,Wood Energy Production,Trillion Btu
WDPRBUS,198102,2/1/1981,191.528,1,Wood Energy Production,Trillion Btu
WDPRBUS,198103,3/1/1981,212.042,1,Wood Energy Production,Trillion Btu
WDPRBUS,198104,4/1/1981,205.195,1,Wood Energy Production,Trillion Btu
WDPRBUS,198105,5/1/1981,211.883,1,Wood Energy Production,Trillion Btu
WDPRBUS,198106,6/1/1981,204.976,1,Wood Energy Production,Trillion Btu
WDPRBUS,198107,7/1/1981,211.838,1,Wood Energy Production,Trillion Btu
WDPRBUS,198108,8/1/1981,211.846,1,Wood Energy Production,Trillion Btu
WDPRBUS,198109,9/1/1981,205.148,1,Wood Energy Production,Trillion Btu
WDPRBUS,198110,10/1/1981,212.004,1,Wood Energy Production,Trillion Btu
WDPRBUS,198111,11/1/1981,205.166,1,Wood Energy Production,Trillion Btu
WDPRBUS,198112,12/1/1981,211.948,1,Wood Energy Production,Trillion Btu
WDPRBUS,198201,1/1/1982,213.205,1,Wood Energy Production,Trillion Btu
WDPRBUS,198202,2/1/1982,192.598,1,Wood Energy Production,Trillion Btu
WDPRBUS,198203,3/1/1982,213.132,1,Wood Energy Production,Trillion Btu
WDPRBUS,198204,4/1/1982,206.24,1,Wood Energy Production,Trillion Btu
WDPRBUS,198205,5/1/1982,213.101,1,Wood Energy Production,Trillion Btu
WDPRBUS,198206,6/1/1982,206.255,1,Wood Energy Production,Trillion Btu
WDPRBUS,198207,7/1/1982,213.146,1,Wood Energy Production,Trillion Btu
WDPRBUS,198208,8/1/1982,213.158,1,Wood Energy Production,Trillion Btu
WDPRBUS,198209,9/1/1982,206.364,1,Wood Energy Production,Trillion Btu
WDPRBUS,198210,10/1/1982,213.332,1,Wood Energy Production,Trillion Btu
WDPRBUS,198211,11/1/1982,206.347,1,Wood Energy Production,Trillion Btu
WDPRBUS,198212,12/1/1982,213.17,1,Wood Energy Production,Trillion Btu
WDPRBUS,198301,1/1/1983,227.926,1,Wood Energy Production,Trillion Btu
WDPRBUS,198302,2/1/1983,205.87,1,Wood Energy Production,Trillion Btu
WDPRBUS,198303,3/1/1983,227.938,1,Wood Energy Production,Trillion Btu
WDPRBUS,198304,4/1/1983,220.561,1,Wood Energy Production,Trillion Btu
WDPRBUS,198305,5/1/1983,227.897,1,Wood Energy Production,Trillion Btu
WDPRBUS,198306,6/1/1983,220.582,1,Wood Energy Production,Trillion Btu
WDPRBUS,198307,7/1/1983,227.933,1,Wood Energy Production,Trillion Btu
WDPRBUS,198308,8/1/1983,227.978,1,Wood Energy Production,Trillion Btu
WDPRBUS,198309,9/1/1983,220.641,1,Wood Energy Production,Trillion Btu
WDPRBUS,198310,10/1/1983,228.031,1,Wood Energy Production,Trillion Btu
